1555615.7733333	1565748.1733333	15472	122805.52
1556220.8627451	1566523.2470588	15472	122920.09411765
1554620.7808765	1564982.8366534	15484	122972.38247012
1554785.4193548	1565195.3064516	15484	123004.56451613
1551294.8049793	1561756.9626556	15493.294605809	123049.49377593
1551238.9421488	1561753.0743802	15496	123093.85123967
1550866.5158371	1561439.0588235	15502.624434389	123138.26244344
1550623.1390135	1561250.5829596	15508	123178.08071749
1550510.7677725	1561178.6350711	15511.81042654	123226.65402844
1549897.9130435	1560622.7246377	15520	123260.92753623
1549638.5346535	1560407.9405941	15520.653465347	123305.92079208
1549512.6990291	1560325.6504854	15532	123340.01941748
1549529.8350515	1560396.9690722	15532	123383.48453608
1548985.7801047	1559905.1937173	15542.806282723	123420.71204188
1549476.0648649	1560436.2810811	15544	123451.82702703
1548584.3060109	1559585.420765	15550.557377049	123485.1147541
1549221.6086957	1560266.5652174	15556	123523.73913043
1548341.1885714	1559427.5885714	15559.36	123559.40571429
1549423.956044	1560549.010989	15568	123595.27472527
1548783.2044199	1559950.6961326	15568.70718232	123629.48066298
1548831.2648649	1560051.8486486	15580	123668.77837838
1548684.8636364	1559948.6363636	15580	123709.56818182
1548578.8222222	1559891.8666667	15590.6	123738.26666667
1548465.4482759	1559817.9310345	15592	123773.1954023
1549233.220339	1560632.4293785	15599.796610169	123816.29378531
1548096.8813559	1559540.3389831	15604	123849.96610169
1548885.6888889	1560373.3777778	15608.377777778	123877.75555556
1548719.5402299	1560252.3218391	15616	123916.45977011
1548882.2099448	1560452.2651934	15617.436464088	123950.38674033
1548356.2033898	1559976.7683616	15628	123982.80225989
1549339.6666667	1561007.3777778	15628	124027.95555556
1548742.247191	1560455.4382022	15638.966292135	124057.64044944
1548632.7294118	1560404.7058824	15640	124110.44705882
1548624.9371429	1560429.4171429	15647.337142857	124127.36
1548584.4418605	1560432.4186047	15652	124174.3255814
1548401.4712644	1560281.8850575	15655.83908046	124197.90804598
1548236.1149425	1560168.9195402	15664	124238.71264368
1547812.4044944	1559772.9662921	15664	124262.08988764
1547126.972067	1559150.1899441	15675.329608939	124312.80446927
1548170.4597701	1560218.6436782	15676	124335.01149425
1547754.8275862	1559843.7701149	15682.413793103	124360.29885057
1547967.1345029	1560115.5087719	15688	124401.07602339
1547421.908046	1559599.3563218	15691.08045977	124432.89655172
1548013.7206704	1560226.1452514	15700	124457.22905028
1547746.1348315	1560001.1685393	15700.606741573	124492
1548192.5842697	1560511.3707865	15712	124535.57303371
1547127.3063584	1559482.265896	15712	124575.72254335
1547984.2681564	1560384.2234637	15722.659217877	124605.65363128
1547776.2259887	1560217.1751412	15724	124639.81920904
1547177.9090909	1559664.25	15732.568181818	124670.97727273
1547003.480226	1559524.2485876	15736	124711.3220339
1547387.9772727	1559958.0681818	15740.772727273	124745.02272727
1547120.4090909	1559736.7045455	15748	124782.22727273
1547081.2183908	1559738.4827586	15749.931034483	124818.85057471
1547171.4065934	1559888.9450549	15760	124860.3956044
1547312.4519774	1560064.3615819	15760	124897.24293785
1547349.4301676	1560147.575419	15772	124934.36871508
1546992.0710059	1559837.6094675	15772	124968.68639053
1546892.7821229	1559781.9441341	15781.452513966	124998.25698324
1547416.3409091	1560346.5227273	15784	125029.56818182
1547784.7868852	1560762.4699454	15791.387978142	125075.08196721
1546764.4571429	1559786.56	15796	125105.66857143
